Total unique clusters: 22684
Total applications: 2776892
Average applications per cluster: 122.42

Most heavily used clusters:
  Cluster 267.0: 1052 applications
  Cluster 131.0: 1052 applications
  Cluster 37.0: 1039 applications
  Cluster 524.0: 1039 applications
  Cluster 144.0: 1036 applications
  Cluster 74.0: 1029 applications
  Cluster 265.0: 1029 applications
  Cluster 523.0: 1025 applications
  Cluster 210.0: 1024 applications
  Cluster 230.0: 1021 applications
  Cluster 72.0: 1021 applications
  Cluster 349.0: 1016 applications
  Cluster 306.0: 1006 applications
  Cluster 264.0: 1002 applications
  Cluster 130.0: 999 applications
  Cluster 258.0: 999 applications
  Cluster 426.0: 990 applications
  Cluster 28.0: 987 applications
  Cluster 29.0: 985 applications
  Cluster 263.0: 984 applications
  Cluster 395.0: 983 applications
  Cluster 308.0: 979 applications
  Cluster 385.0: 974 applications
  Cluster 207.0: 973 applications
  Cluster 389.0: 972 applications
  Cluster 335.0: 971 applications
  Cluster 20.0: 970 applications
  Cluster 259.0: 969 applications
  Cluster 143.0: 969 applications
  Cluster 387.0: 968 applications
  Cluster 27.0: 968 applications
  Cluster 1580.0: 953 applications
  Cluster 157.0: 942 applications
  Cluster 152.0: 941 applications
  Cluster 150.0: 933 applications
  Cluster 391.0: 929 applications
  Cluster 33.0: 925 applications
  Cluster 257.0: 922 applications
  Cluster 6.0: 918 applications
  Cluster 124.0: 908 applications
  Cluster 256.0: 901 applications
  Cluster 233.0: 895 applications
  Cluster 2575.0: 891 applications
  Cluster 35.0: 891 applications
  Cluster 19.0: 886 applications
  Cluster 311.0: 878 applications
  Cluster 158.0: 878 applications
  Cluster 390.0: 877 applications
  Cluster 422.0: 876 applications
  Cluster 191.0: 870 applications
  Cluster 515.0: 868 applications
  Cluster 229.0: 867 applications
  Cluster 136.0: 866 applications
  Cluster 382.0: 865 applications
  Cluster 522.0: 864 applications
  Cluster 383.0: 862 applications
  Cluster 312.0: 861 applications
  Cluster 232.0: 860 applications
  Cluster 516.0: 859 applications
  Cluster 245.0: 857 applications
  Cluster 322.0: 856 applications
  Cluster 216.0: 856 applications
  Cluster 521.0: 856 applications
  Cluster 334.0: 853 applications
  Cluster 2163.0: 852 applications
  Cluster 222.0: 851 applications
  Cluster 128.0: 851 applications
  Cluster 202.0: 850 applications
  Cluster 304.0: 850 applications
  Cluster 134.0: 847 applications
  Cluster 283.0: 841 applications
  Cluster 166.0: 840 applications
  Cluster 325.0: 840 applications
  Cluster 214.0: 840 applications
  Cluster 517.0: 840 applications
  Cluster 227.0: 839 applications
  Cluster 213.0: 839 applications
  Cluster 323.0: 838 applications
  Cluster 423.0: 836 applications
  Cluster 107.0: 835 applications
  Cluster 135.0: 834 applications
  Cluster 211.0: 832 applications
  Cluster 224.0: 832 applications
  Cluster 212.0: 832 applications
  Cluster 319.0: 831 applications
  Cluster 123.0: 830 applications
  Cluster 236.0: 829 applications
  Cluster 215.0: 828 applications
  Cluster 262.0: 827 applications
  Cluster 121.0: 826 applications
  Cluster 225.0: 826 applications
  Cluster 127.0: 826 applications
  Cluster 140.0: 825 applications
  Cluster 318.0: 825 applications
  Cluster 226.0: 824 applications
  Cluster 206.0: 824 applications
  Cluster 310.0: 822 applications
  Cluster 321.0: 822 applications
  Cluster 341.0: 821 applications
  Cluster 119.0: 821 applications
  Cluster 141.0: 820 applications
  Cluster 241.0: 819 applications
  Cluster 326.0: 819 applications
  Cluster 686.0: 819 applications
  Cluster 160.0: 818 applications
  Cluster 217.0: 818 applications
  Cluster 223.0: 818 applications
  Cluster 511.0: 817 applications
  Cluster 274.0: 816 applications
  Cluster 350.0: 815 applications
  Cluster 125.0: 814 applications
  Cluster 298.0: 814 applications
  Cluster 275.0: 813 applications
  Cluster 253.0: 812 applications
  Cluster 337.0: 812 applications
  Cluster 254.0: 810 applications
  Cluster 120.0: 810 applications
  Cluster 425.0: 810 applications
  Cluster 67.0: 810 applications
  Cluster 13.0: 809 applications
  Cluster 343.0: 807 applications
  Cluster 248.0: 807 applications
  Cluster 286.0: 807 applications
  Cluster 332.0: 807 applications
  Cluster 208.0: 807 applications
  Cluster 342.0: 807 applications
  Cluster 305.0: 807 applications
  Cluster 307.0: 807 applications
  Cluster 209.0: 806 applications
  Cluster 194.0: 806 applications
  Cluster 320.0: 806 applications
  Cluster 317.0: 805 applications
  Cluster 333.0: 805 applications
  Cluster 266.0: 805 applications
  Cluster 327.0: 804 applications
  Cluster 362.0: 803 applications
  Cluster 159.0: 801 applications
  Cluster 249.0: 800 applications
  Cluster 338.0: 800 applications
  Cluster 199.0: 800 applications
  Cluster 277.0: 799 applications
  Cluster 646.0: 798 applications
  Cluster 167.0: 798 applications
  Cluster 328.0: 797 applications
  Cluster 336.0: 797 applications
  Cluster 244.0: 797 applications
  Cluster 296.0: 796 applications
  Cluster 339.0: 796 applications
  Cluster 294.0: 795 applications
  Cluster 276.0: 794 applications
  Cluster 421.0: 794 applications
  Cluster 108.0: 793 applications
  Cluster 246.0: 792 applications
  Cluster 240.0: 791 applications
  Cluster 282.0: 790 applications
  Cluster 510.0: 789 applications
  Cluster 252.0: 789 applications
  Cluster 242.0: 789 applications
  Cluster 360.0: 788 applications
  Cluster 508.0: 788 applications
  Cluster 24.0: 788 applications
  Cluster 235.0: 787 applications
  Cluster 197.0: 787 applications
  Cluster 340.0: 786 applications
  Cluster 250.0: 786 applications
  Cluster 297.0: 786 applications
  Cluster 116.0: 785 applications
  Cluster 10.0: 785 applications
  Cluster 260.0: 784 applications
  Cluster 287.0: 783 applications
  Cluster 68.0: 783 applications
  Cluster 1367.0: 783 applications
  Cluster 151.0: 783 applications
  Cluster 285.0: 783 applications
  Cluster 373.0: 780 applications
  Cluster 247.0: 780 applications
  Cluster 182.0: 780 applications
  Cluster 73.0: 780 applications
  Cluster 295.0: 779 applications
  Cluster 186.0: 778 applications
  Cluster 251.0: 778 applications
  Cluster 71.0: 778 applications
  Cluster 168.0: 777 applications
  Cluster 300.0: 777 applications
  Cluster 70.0: 777 applications
  Cluster 261.0: 776 applications
  Cluster 273.0: 776 applications
  Cluster 181.0: 775 applications
  Cluster 284.0: 775 applications
  Cluster 126.0: 775 applications
  Cluster 198.0: 774 applications
  Cluster 361.0: 773 applications
  Cluster 243.0: 773 applications
  Cluster 118.0: 772 applications
  Cluster 58.0: 772 applications
  Cluster 9.0: 770 applications
  Cluster 88.0: 770 applications
  Cluster 359.0: 770 applications
  Cluster 293.0: 769 applications
  Cluster 356.0: 769 applications
  Cluster 171.0: 768 applications
  Cluster 57.0: 768 applications
  Cluster 65.0: 767 applications
  Cluster 357.0: 766 applications
  Cluster 169.0: 763 applications
  Cluster 201.0: 763 applications
  Cluster 53.0: 763 applications
  Cluster 299.0: 762 applications
  Cluster 193.0: 761 applications
  Cluster 376.0: 761 applications
  Cluster 479.0: 760 applications
  Cluster 184.0: 760 applications
  Cluster 358.0: 759 applications
  Cluster 354.0: 759 applications
  Cluster 69.0: 757 applications
  Cluster 368.0: 757 applications
  Cluster 60.0: 756 applications
  Cluster 59.0: 756 applications
  Cluster 106.0: 755 applications
  Cluster 178.0: 755 applications
  Cluster 509.0: 754 applications
  Cluster 76.0: 754 applications
  Cluster 420.0: 753 applications
  Cluster 196.0: 753 applications
  Cluster 268.0: 753 applications
  Cluster 66.0: 753 applications
  Cluster 374.0: 752 applications
  Cluster 55.0: 752 applications
  Cluster 109.0: 752 applications
  Cluster 451.0: 752 applications
  Cluster 394.0: 751 applications
  Cluster 366.0: 750 applications
  Cluster 408.0: 748 applications
  Cluster 377.0: 747 applications
  Cluster 369.0: 747 applications
  Cluster 183.0: 746 applications
  Cluster 174.0: 746 applications
  Cluster 379.0: 745 applications
  Cluster 56.0: 745 applications
  Cluster 292.0: 744 applications
  Cluster 370.0: 744 applications
  Cluster 98.0: 744 applications
  Cluster 367.0: 743 applications
  Cluster 149.0: 743 applications
  Cluster 170.0: 742 applications
  Cluster 200.0: 741 applications
  Cluster 378.0: 741 applications
  Cluster 375.0: 739 applications
  Cluster 180.0: 738 applications
  Cluster 91.0: 737 applications
  Cluster 393.0: 736 applications
  Cluster 101.0: 736 applications
  Cluster 409.0: 736 applications
  Cluster 148.0: 735 applications
  Cluster 355.0: 734 applications
  Cluster 371.0: 734 applications
  Cluster 104.0: 731 applications
  Cluster 103.0: 730 applications
  Cluster 105.0: 730 applications
  Cluster 81.0: 727 applications
  Cluster 117.0: 727 applications
  Cluster 86.0: 726 applications
  Cluster 860.0: 726 applications
  Cluster 85.0: 725 applications
  Cluster 179.0: 725 applications
  Cluster 115.0: 725 applications
  Cluster 185.0: 724 applications
  Cluster 400.0: 724 applications
  Cluster 410.0: 723 applications
  Cluster 99.0: 722 applications
  Cluster 353.0: 722 applications
  Cluster 372.0: 721 applications
  Cluster 100.0: 720 applications
  Cluster 89.0: 720 applications
  Cluster 173.0: 719 applications
  Cluster 402.0: 717 applications
  Cluster 122.0: 717 applications
  Cluster 401.0: 716 applications
  Cluster 82.0: 716 applications
  Cluster 102.0: 716 applications
  Cluster 90.0: 715 applications
  Cluster 380.0: 714 applications
  Cluster 278.0: 712 applications
  Cluster 44.0: 711 applications
  Cluster 172.0: 711 applications
  Cluster 161.0: 710 applications
  Cluster 147.0: 709 applications
  Cluster 412.0: 709 applications
  Cluster 399.0: 708 applications
  Cluster 388.0: 708 applications
  Cluster 453.0: 706 applications
  Cluster 234.0: 705 applications
  Cluster 920.0: 705 applications
  Cluster 403.0: 703 applications
  Cluster 413.0: 701 applications
  Cluster 156.0: 698 applications
  Cluster 84.0: 696 applications
  Cluster 411.0: 695 applications
  Cluster 97.0: 694 applications
  Cluster 142.0: 694 applications
  Cluster 482.0: 693 applications
  Cluster 96.0: 693 applications
  Cluster 52.0: 693 applications
  Cluster 110.0: 692 applications
  Cluster 419.0: 691 applications
  Cluster 195.0: 691 applications
  Cluster 464.0: 690 applications
  Cluster 1579.0: 688 applications
  Cluster 404.0: 687 applications
  Cluster 634.0: 687 applications
  Cluster 1364.0: 687 applications
  Cluster 1145.0: 681 applications
  Cluster 576.0: 681 applications
  Cluster 913.0: 680 applications
  Cluster 32.0: 679 applications
  Cluster 83.0: 678 applications
  Cluster 46.0: 674 applications
  Cluster 1090.0: 673 applications
  Cluster 392.0: 672 applications
  Cluster 474.0: 672 applications
  Cluster 42.0: 672 applications
  Cluster 418.0: 671 applications
  Cluster 351.0: 671 applications
  Cluster 690.0: 669 applications
  Cluster 30.0: 668 applications
  Cluster 25.0: 668 applications
  Cluster 26.0: 667 applications
  Cluster 454.0: 666 applications
  Cluster 639.0: 661 applications
  Cluster 352.0: 661 applications
  Cluster 40.0: 659 applications
  Cluster 635.0: 659 applications
  Cluster 1743.0: 658 applications
  Cluster 48.0: 658 applications
  Cluster 466.0: 657 applications
  Cluster 469.0: 654 applications
  Cluster 506.0: 650 applications
  Cluster 498.0: 650 applications
  Cluster 487.0: 649 applications
  Cluster 478.0: 649 applications
  Cluster 484.0: 649 applications
  Cluster 641.0: 648 applications
  Cluster 45.0: 648 applications
  Cluster 536.0: 648 applications
  Cluster 476.0: 648 applications
  Cluster 584.0: 646 applications
  Cluster 649.0: 646 applications
  Cluster 488.0: 646 applications
  Cluster 467.0: 645 applications
  Cluster 595.0: 645 applications
  Cluster 493.0: 644 applications
  Cluster 15.0: 644 applications
  Cluster 21.0: 643 applications
  Cluster 424.0: 642 applications
  Cluster 591.0: 640 applications
  Cluster 43.0: 640 applications
  Cluster 534.0: 640 applications
  Cluster 624.0: 640 applications
  Cluster 495.0: 640 applications
  Cluster 501.0: 639 applications
  Cluster 679.0: 639 applications
  Cluster 80.0: 637 applications
  Cluster 685.0: 637 applications
  Cluster 463.0: 637 applications
  Cluster 558.0: 636 applications
  Cluster 504.0: 636 applications
  Cluster 14.0: 636 applications
  Cluster 462.0: 636 applications
  Cluster 496.0: 636 applications
  Cluster 518.0: 636 applications
  Cluster 587.0: 635 applications
  Cluster 1150.0: 634 applications
  Cluster 561.0: 634 applications
  Cluster 47.0: 634 applications
  Cluster 580.0: 634 applications
  Cluster 502.0: 634 applications
  Cluster 569.0: 634 applications
  Cluster 564.0: 633 applications
  Cluster 670.0: 633 applications
  Cluster 468.0: 633 applications
  Cluster 481.0: 633 applications
  Cluster 593.0: 632 applications
  Cluster 589.0: 632 applications
  Cluster 480.0: 632 applications
  Cluster 574.0: 631 applications
  Cluster 31.0: 631 applications
  Cluster 619.0: 631 applications
  Cluster 694.0: 631 applications
  Cluster 492.0: 631 applications
  Cluster 570.0: 630 applications
  Cluster 526.0: 630 applications
  Cluster 590.0: 630 applications
  Cluster 557.0: 628 applications
  Cluster 483.0: 628 applications
  Cluster 620.0: 628 applications
  Cluster 573.0: 628 applications
  Cluster 499.0: 627 applications
  Cluster 458.0: 627 applications
  Cluster 460.0: 627 applications
  Cluster 607.0: 627 applications
  Cluster 661.0: 626 applications
  Cluster 659.0: 626 applications
  Cluster 588.0: 626 applications
  Cluster 665.0: 625 applications
  Cluster 627.0: 624 applications
  Cluster 559.0: 624 applications
  Cluster 658.0: 624 applications
  Cluster 575.0: 623 applications
  Cluster 644.0: 623 applications
  Cluster 537.0: 623 applications
  Cluster 494.0: 623 applications
  Cluster 677.0: 623 applications
  Cluster 475.0: 623 applications
  Cluster 637.0: 623 applications
  Cluster 654.0: 623 applications
  Cluster 592.0: 622 applications
  Cluster 656.0: 622 applications
  Cluster 653.0: 622 applications
  Cluster 594.0: 622 applications
  Cluster 519.0: 622 applications
  Cluster 503.0: 621 applications
  Cluster 740.0: 621 applications
  Cluster 642.0: 621 applications
  Cluster 647.0: 620 applications
  Cluster 681.0: 619 applications
  Cluster 1733.0: 619 applications
  Cluster 2156.0: 618 applications
  Cluster 671.0: 618 applications
  Cluster 520.0: 618 applications
  Cluster 560.0: 618 applications
  Cluster 477.0: 618 applications
  Cluster 643.0: 618 applications
  Cluster 552.0: 618 applications
  Cluster 546.0: 617 applications
  Cluster 638.0: 617 applications
  Cluster 544.0: 617 applications
  Cluster 648.0: 617 applications
  Cluster 545.0: 617 applications
  Cluster 23.0: 615 applications
  Cluster 636.0: 615 applications
  Cluster 660.0: 615 applications
  Cluster 655.0: 615 applications
  Cluster 528.0: 615 applications
  Cluster 525.0: 615 applications
  Cluster 585.0: 615 applications
  Cluster 505.0: 615 applications
  Cluster 550.0: 615 applications
  Cluster 34.0: 615 applications
  Cluster 618.0: 614 applications
  Cluster 512.0: 614 applications
  Cluster 549.0: 613 applications
  Cluster 563.0: 613 applications
  Cluster 626.0: 613 applications
  Cluster 577.0: 613 applications
  Cluster 610.0: 613 applications
  Cluster 548.0: 612 applications
  Cluster 551.0: 612 applications
  Cluster 601.0: 612 applications
  Cluster 461.0: 612 applications
  Cluster 579.0: 612 applications
  Cluster 452.0: 612 applications
  Cluster 645.0: 612 applications
  Cluster 578.0: 611 applications
  Cluster 631.0: 611 applications
  Cluster 535.0: 611 applications
  Cluster 667.0: 611 applications
  Cluster 700.0: 611 applications
  Cluster 562.0: 610 applications
  Cluster 527.0: 610 applications
  Cluster 514.0: 610 applications
  Cluster 605.0: 610 applications
  Cluster 669.0: 610 applications
  Cluster 683.0: 609 applications
  Cluster 459.0: 609 applications
  Cluster 539.0: 608 applications
  Cluster 600.0: 608 applications
  Cluster 668.0: 608 applications
  Cluster 529.0: 608 applications
  Cluster 538.0: 607 applications
  Cluster 22.0: 607 applications
  Cluster 497.0: 607 applications
  Cluster 650.0: 606 applications
  Cluster 465.0: 606 applications
  Cluster 698.0: 605 applications
  Cluster 446.0: 605 applications
  Cluster 485.0: 605 applications
  Cluster 613.0: 605 applications
  Cluster 486.0: 605 applications
  Cluster 622.0: 604 applications
  Cluster 628.0: 603 applications
  Cluster 632.0: 603 applications
  Cluster 572.0: 603 applications
  Cluster 695.0: 603 applications
  Cluster 41.0: 602 applications
  Cluster 684.0: 602 applications
  Cluster 609.0: 602 applications
  Cluster 680.0: 601 applications
  Cluster 431.0: 601 applications
  Cluster 606.0: 601 applications
  Cluster 556.0: 601 applications
  Cluster 623.0: 600 applications
  Cluster 682.0: 600 applications
  Cluster 500.0: 600 applications
  Cluster 586.0: 600 applications
  Cluster 621.0: 600 applications
  Cluster 630.0: 599 applications
  Cluster 678.0: 599 applications
